rank,Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY,cohortYear,status,gender,yearsteaching
76,157,003o0000005Be6c,0,-0.3505600,-0.3826900,158,-2.5,3.0,-0.3321476,-0.1116428,0.0738056,0.2716718,6.0083110,0.2614731,-0.0737388,-3.7385269,-1.2385269,-0.4737388,0.15,0,0,14
77,158,003o0000005Be6d,0,-0.4415700,-0.1669700,159,-2.0,3.0,-0.3321476,-0.1116428,0.0150344,0.1226147,2.8915121,-0.1188004,0.0303449,-4.1188004,-1.6188004,-0.3696551,0.15,0,1,11
78,162,003o0000005Be6e,0,-0.4857900,-0.2783500,163,0.0,3.0,-0.3321476,-0.1116428,0.0513973,0.2267096,5.1083876,0.0874486,-0.2091650,-3.9125514,-1.4125514,-0.6091650,0.15,0,1,11
79,114,003o0000005Be6f,5,0.0648100,0.2967600,115,-0.5,2.5,-0.0632939,-0.0532988,0.1389518,0.3727624,7.9206258,-0.0248240,0.3719349,-6.0248240,-2.0248240,1.3719349,0.15,1,1,5
80,163,003o0000005Be6g,0,-0.5115900,-0.0192300,164,0.5,3.0,-0.3321476,-0.1116428,0.0407397,0.2018408,4.5963592,-0.0233670,-0.2004836,-4.0233670,-1.5233670,-0.6004836,0.15,1,1,4
81,27,003o0000005Be6h,5,-0.2911800,0.2356500,28,1.5,0.0,-0.0632939,-0.0532988,0.1354235,0.3679993,7.8337324,0.0074512,0.3679238,-5.9925488,-1.9925488,1.3679238,0.15,0,1,10
82,137,003o0000005Be6i,0,-0.3802900,-0.0235700,138,0.5,-3.0,-0.3321476,-0.1116428,0.0100745,0.1003719,2.3912048,-0.0734144,0.0684458,-4.0734144,-1.5734144,-0.3315542,0.15,0,0,7
83,442,003o0000005Be6j,3,0.5581100,0.0164000,443,5.5,4.5,0.3863704,0.2248236,0.0729349,0.2700646,5.9766941,0.2574791,-0.0814826,6.2574791,2.8574791,1.6485174,0.15,0,0,8
84,138,003o0000005Be6k,0,-0.2399900,0.0362700,139,0.0,-3.0,-0.3321476,-0.1116428,0.0303712,0.1742734,4.0162401,-0.1117559,-0.1337231,-4.1117559,-1.6117559,-0.5337231,0.15,0,1,9
85,345,003o0000005Be6l,6,0.2990300,-0.3437000,346,-3.0,4.5,0.2472493,-0.3539287,0.0027859,0.0527814,1.2858892,0.0148352,0.0506536,0.0148352,-0.0351648,0.6506536,0.15,0,1,10
