idOriginal,newClusters,xs,ys,point,xVal,yVal
003o0000005Be4g,1,0.45387208,0.226752685,282,0.5,4
003o0000005Be0A,1,-0.101517632,-0.511602409,283,1,4
003o0000005Be0C,1,0.064659715,0.117963778,284,1.5,4
003o0000005BdxA,1,0.144018583,0.166184331,285,2,4
003o0000005CulW,1,0.389978929,0.29473198,286,2.5,4
003o0000005EQMy,1,0.088036571,0.162838594,287,3,4
003o0000005Be4i,1,-0.158856505,-0.129155942,288,3.5,4
003o0000005Be03,1,-0.047903228,-0.115078584,289,4,4
003o0000005Be0D,1,0.066173044,-0.190515303,290,4.5,4
003o0000005EQ2U,1,-0.065026965,-0.020776864,291,4.5,3.5
003o0000005CuhX,1,0.409247415,0.136067732,292,4.5,3
003o0000005EQHJ,1,0.373651264,0.370443936,293,4.5,2.5
003o0000005EQMX,1,0.097194893,-0.071615049,294,4.5,2
003o0000005Be8C,1,0.045317427,0.011650921,295,4.5,1.5
003o0000005Be3J,1,0.498684999,0.09457345,296,4.5,1
003o0000005Be7A,1,-0.135029909,-0.490756124,297,4.5,0.5
003o0000005Be4U,1,0.351918819,-0.00924717,298,4.5,0
003o0000005Cufv,1,0.52092888,-0.026561676,299,4.5,-0.5
003o0000005Be0R,1,0.042663007,-0.356674089,300,4.5,-1
003o0000005Bdxa,1,0.388068682,0.354539342,301,4.5,-1.5
003o0000005Cupq,6,0.393552431,-0.14700216,302,4.5,-2
003o0000005EQNT,6,0.422042318,-0.179665665,303,4.5,-2.5
003o0000005Be2Y,6,0.146880896,-0.504989903,304,4.5,-3
003o0000005Be3X,6,0.285934548,-0.430538573,305,4.5,-3.5
003o0000005Be2X,6,0.454116694,-0.310527171,306,4.5,-4
003o0000005Be08,6,0.394859152,-0.217909036,307,4.5,-4.5
003o0000005Bdxb,6,0.469279995,-0.283005136,308,4,-4.5
003o0000005Bdzc,6,0.346624582,-0.229887286,309,3.5,-4.5
003o0000005Bejd,6,0.370832204,-0.398238775,310,3,-4.5
003o0000005BetP,6,0.193890491,-0.509065771,311,2.5,-4.5
003o0000005Beu2,6,0.40050826,-0.332886339,312,2,-4.5
003o0000005BeuK,6,0.345559158,-0.355643034,313,1.5,-4.5
003o0000005EQKE,6,0.209838498,-0.497651741,314,1,-4.5
003o0000005EQL2,6,0.338061122,-0.419983167,315,0.5,-4.5
003o0000005EQLq,6,0.278814825,-0.319279694,316,0,-4.5
003o0000005EQLr,6,0.374049915,-0.105073309,317,-0.5,-4.5
003o0000005EQNj,6,0.44113777,-0.220393258,318,-1,-4.5
003o0000005EQNl,6,0.465153621,-0.234910296,319,-1.5,-4.5
003o0000005EQXH,6,0.431891501,-0.26222288,320,-2,-4.5
003o0000005EQCS,6,0.374115426,-0.203717112,321,-2.5,-4.5
003o0000005Be4Q,6,0.275292842,-0.290297881,322,-3,-4.5
003o0000005EQKr,6,-0.03615702,-0.576393792,323,-3.5,-4.5
003o0000005Be3W,6,0.450966864,-0.369285456,324,-4,-4.5
003o0000005Be2U,6,0.291777402,-0.382803184,325,-4.5,-4.5
003o0000005Be4H,6,0.159806814,-0.425547582,326,-4.5,-4
003o0000005Be4R,6,0.176467583,-0.368941886,327,-4.5,-3.5
003o0000005BdzZ,6,0.139286851,-0.466940753,328,-4.5,-3
003o0000005Bdzf,6,0.128271794,-0.402195311,329,-4.5,-2.5
003o0000005BdzK,6,0.161690037,-0.478075515,330,-4.5,-2
003o0000005Bdyp,6,0.151437255,-0.465461968,331,-4.5,-1.5
003o0000005Be4S,6,0.119070011,-0.427026409,332,-4.5,-1
003o0000005Be4G,6,0.366643338,-0.172819329,333,-4.5,-0.5
003o0000005Be2T,6,0.323761649,-0.224043101,334,-4.5,0
003o0000005Be4V,6,0.137261734,-0.26656626,335,-4.5,0.5
003o0000005Be2Q,6,0.122923888,-0.33876969,336,-4.5,1
003o0000005BdzX,6,0.03628169,-0.320568748,337,-4.5,1.5
003o0000005Be9Y,6,0.43105416,-0.321831603,338,-4.5,2
003o0000005Be9K,6,0.384547564,-0.293933107,339,-4.5,2.5
003o0000005Be8B,6,0.324733991,-0.173507424,340,-4.5,3
003o0000005BdzA,6,-0.052143166,-0.492276291,341,-4.5,3.5
003o0000005BeA3,6,0.347093154,-0.479897548,342,-4.5,4
003o0000005Be8A,6,0.247277191,-0.358411179,343,-4.5,4.5
003o0000005Be6x,6,0.257779646,-0.34848807,344,-4,4.5
003o0000005Be7j,6,0.123212771,-0.56412406,345,-3.5,4.5
003o0000005Be6l,6,0.299029237,-0.343701556,346,-3,4.5
003o0000005BdzJ,6,0.336941306,-0.408542691,347,-2.5,4.5
003o0000005Be6o,6,0.310523691,-0.311027936,348,-2,4.5
003o0000005Be6q,6,0.214724267,-0.294732282,349,-1.5,4.5
003o0000005Be6t,6,0.302939255,-0.275960162,350,-1,4.5
003o0000005Be6u,6,0.218616944,-0.255553329,351,-0.5,4.5
003o0000005Be6w,6,0.234734344,-0.404477742,352,0,4.5
003o0000005Be71,6,0.169530732,-0.385047737,353,0.5,4.5
003o0000005Be78,6,0.213065976,-0.42006524,354,1,4.5
003o0000005Be7Q,6,0.210917702,-0.346432593,355,1.5,4.5
003o0000005Be7R,6,0.105433223,-0.3747956,356,2,4.5
003o0000005Be9x,6,0.071849293,-0.523816483,357,2.5,4.5
003o0000005Be8c,6,-0.026299812,-0.423782118,358,3,4.5
003o0000005Be8F,6,0.042368289,-0.478079203,359,3.5,4.5
003o0000005Be9R,6,0.001199962,-0.384374836,360,4,4.5
003o0000005Be8O,6,0.409269212,-0.26550898,361,4.5,4.5
003o0000005Be8v,6,0.251186504,-0.4403778,362,5,4.5
003o0000005Be86,6,0.068376356,-0.36609566,363,5,4
003o0000005Be7k,6,0.07254395,-0.403046544,364,5,3.5
003o0000005Be9s,6,0.301898218,-0.438683889,365,5,3
003o0000005Be9v,6,0.170019193,-0.33258791,366,5,2.5
003o0000005Bdze,6,0.011024084,-0.415491285,367,5,2
003o0000005Be7h,6,0.173338787,-0.201132754,368,5,1.5
003o0000005Be9y,6,0.444263824,-0.403012372,369,5,1
003o0000005EQKB,4,-0.408020362,0.098891482,370,5,0.5
003o0000005Be7M,4,-0.226688055,0.134643752,371,5,0
003o0000005Be9F,4,-0.160162195,-0.009160941,372,5,-0.5
003o0000005Be9r,4,-0.181152386,0.057230233,373,5,-1
003o0000005Be7i,4,-0.00616291,-0.002838387,374,5,-1.5
003o0000005Be8i,4,-0.242632605,-0.218685141,375,5,-2
003o0000005Be9V,4,-0.109848292,-0.063607567,376,5,-2.5
003o0000005Be90,4,-0.004737346,-0.051759922,377,5,-3
003o0000005Be9g,4,-0.015281071,-0.371361581,378,5,-3.5
003o0000005Be4Y,4,-0.061200953,-0.447041657,379,5,-4
003o0000005Be4I,4,-0.047741969,-0.232534907,380,5,-4.5
003o0000005Be4T,4,-0.023075672,-0.259807281,381,5,-5
003o0000005BdzH,4,-0.010308386,-0.2813559,382,4.5,-5
003o0000005BdzL,4,-0.113271281,-0.328688554,383,4,-5
003o0000005Bdx8,4,0.030885732,-0.271100454,384,3.5,-5
003o0000005Be2S,4,-0.048263909,-0.291917274,385,3,-5
003o0000005BdyO,4,0.005026234,-0.206572528,386,2.5,-5
003o0000005BdzY,4,-0.012923254,-0.326553446,387,2,-5
003o0000005Be4M,4,-0.06847018,-0.210697469,388,1.5,-5
003o0000005Be6p,4,-0.308775593,-0.342940876,389,1,-5
003o0000005Be72,4,0.003767639,-0.610654202,390,0.5,-5
003o0000005Be8z,4,-0.4315317,-0.124420991,391,0,-5
003o0000005Be7a,4,-0.513952673,-0.005200796,392,-0.5,-5
003o0000005Be9T,4,-0.381658312,-0.090114583,393,-1,-5
003o0000005Be99,4,0.002550712,-0.132370117,394,-1.5,-5
003o0000005Be9Q,4,-0.627931432,0.019047189,395,-2,-5
003o0000005Be7J,4,-0.470190474,0.025588291,396,-2.5,-5
003o0000005Be8t,4,-0.523729845,-0.104897914,397,-3,-5
003o0000005Be9N,4,-0.523922306,-0.068466221,398,-3.5,-5
003o0000005Be7y,4,0.058556372,0.051518635,399,-4,-5
003o0000005Be7r,4,-0.201043963,-0.403021079,400,-4.5,-5
003o0000005Be8k,4,-0.359665946,-0.274903612,401,-5,-5
003o0000005Be8y,4,-0.384254863,-0.351326759,402,-5,-4.5
003o0000005Be9f,4,-0.391704239,-0.147404975,403,-5,-4
003o0000005Be9z,4,-0.435596296,-0.066713624,404,-5,-3.5
003o0000005Be9X,4,-0.333273814,-0.312946667,405,-5,-3
003o0000005Be8n,4,-0.553850792,-0.248869513,406,-5,-2.5
003o0000005Be7g,4,-0.283242387,-0.298893462,407,-5,-2
003o0000005Be7G,4,-0.524756944,-0.128888782,408,-5,-1.5
